POINT_1_STREET;POINT_2_STREET;POINT_1_NAME;POINT_2_NAME;DURATION_IN_SEC;POINT_1_CITY;POINT_2_CITY;POINT_1_LAT;POINT_1_LNG;POINT_2_LAT;NDT_IN_KMH;POINT_2_POSTAL_CODE;POINT_2_COUNTRY;POINT_1_STREET_NUMBER;ORGANISATION;POINT_1_POSTAL_CODE;POINT_2_STREET_NUMBER;;extID;ROAD_TYPE;REPORT_ID;POINT_1_COUNTRY;DISTANCE_IN_METERS;REPORT_NAME;RBA_ID;_id
Marselis Boulevard;Strandvejen;4367;3190;48;Aarhus;Aarhus;56.14171142;10.20441591;56.14471913;36;8000;Denmark;0;COWI;8000;36;;588;MAJOR_ROAD;206475;Denmark;476;AAR_BT_0508 4367 3190;229641;1995
Grenåvej;Grenåvej;4582;3181;34;Risskov;Risskov;56.18655112;10.21812478;56.18290049;43;8240;Denmark;125;COWI;8240;105;;195;MAJOR_ROAD;178713;Denmark;406;AAR_BT_0102 4582 3181;180121;1602
Kystvejen;Spanien;3187;3189;199;Aarhus;Aarhus;56.16159727;10.2153897;56.14892751;27;8000;Denmark;59;COWI;8000;63;;203;MAJOR_ROAD;178929;Denmark;1489;AAR_BT_0110 3187 3189;180137;1610
Silkeborgvej;Silkeborgvej;3200;3199;100;Aarhus;Aarhus;56.15313589;10.13906037;56.15461014;41;8230;Denmark;521;COWI;8220;303;;267;MAJOR_ROAD;183037;Denmark;1152;AAR_BT_0174 3200 3199;183603;1674
Skanderborgvej;Skanderborgvej;3150;4373;55;Aarhus;Aarhus;56.14258759;10.18675688;56.13844852;43;8260;Denmark;26;COWI;8000;106;;276;MAJOR_ROAD;184729;Denmark;660;AAR_BT_0183 3150 4373;186205;1683
Vejlby Ringvej;Grenåvej;2661;4581;85;Risskov;Risskov;56.1869623;10.21245937;56.19369242;41;8240;Denmark;0;COWI;8240;0;;282;MAJOR_ROAD;184892;Denmark;966;AAR_BT_0189 2661 4581;186217;1689
Nordre Ringgade;Randersvej;3191;3977;89;Aarhus;Aarhus;56.17112255;10.20144743;56.17606862;30;8200;Denmark;0;COWI;8000;54;;331;MAJOR_ROAD;187695;Denmark;752;AAR_BT_0238 3191 3977;189716;1738
Nørrebrogade;Nordre Ringgade;3152;3191;90;Aarhus;Aarhus;56.16816672;10.20706009;56.17122708;26;8000;Denmark;44;COWI;8000;3;;334;MAJOR_ROAD;187774;Denmark;643;AAR_BT_0241 3152 3191;189722;1741
Viborgvej;Vestre Ringgade;3156;3193;67;Aarhus;Aarhus;56.15941871;10.18776376;56.16389697;38;8210;Denmark;14;COWI;8000;53;;342;MAJOR_ROAD;187986;Denmark;707;AAR_BT_0249 3156 3193;189738;1749
Randersvej;Søftenvej;4362;4350;37;Aarhus;Aarhus;56.19922308;10.18244475;56.20417258;69;8200;Denmark;0;COWI;8200;0;;184;MAJOR_ROAD;159043;Denmark;713;AAR_BT_0025 4362 4350;161251;1591
Randersvej;Randersvej;3155;3154;46;Århus N;Aarhus;56.18461478;10.19580434;56.18028339;40;8200;Denmark;141;COWI;8200;164;;247;MAJOR_ROAD;181197;Denmark;516;AAR_BT_0154 3155 3154;182242;1654
Randersvej;Vejlby Ringvej;3154;2660;64;Aarhus;Aarhus;56.1803125;10.19893293;56.18324423;27;8200;Denmark;164;COWI;8200;20;;288;MAJOR_ROAD;185051;Denmark;473;AAR_BT_0195 3154 2660;186229;1695
Viborgvej;Hasle Ringvej;3158;2656;63;Aarhus;Aarhus;56.16914803;10.16106271;56.17304495;42;8210;Denmark;165-167;COWI;8210;36;;300;MAJOR_ROAD;185369;Denmark;742;AAR_BT_0207 3158 2656;186253;1707
Åby Ringvej;Silkeborgvej;2654;3199;131;Aarhus;Aarhus;56.16019089;10.14325795;56.15461014;44;8230;Denmark;0;COWI;8230;303;;307;MAJOR_ROAD;187059;Denmark;1619;AAR_BT_0214 2654 3199;189668;1714
Skejby Nordlandsvej;Humlehusvej;4365;4360;99;Aarhus;Aarhus;56.20499385;10.17926542;56.20114198;31;8200;Denmark;311;COWI;8200;16;;392;MAJOR_ROAD;192438;Denmark;843;AAR_BT_0300 4365 4360;229068;1799
Skejby Nordlandsvej;Sindalsvej;4365;4358;188;Aarhus;Risskov;56.20499385;10.17926542;56.21023739;44;8240;Denmark;311;COWI;8200;40;;393;MAJOR_ROAD;192466;Denmark;2274;AAR_BT_0301 4365 4358;229070;1800
Rosenvangs Alle;Jyllands Alle;4556;4548;165;Aarhus;Højbjerg;56.13417989;10.17948788;56.12994;31;8270;Denmark;30;COWI;8260;105;;553;MAJOR_ROAD;203875;Denmark;1431;AAR_BT_0473 4556 4548;229571;1960
Nørrebrogade;Randersvej;3152;3977;92;Aarhus;Aarhus;56.16816672;10.20706009;56.17606862;37;8200;Denmark;44;COWI;8000;54;;252;MAJOR_ROAD;181331;Denmark;938;AAR_BT_0159 3152 3977;182252;1659
Vejlby Ringvej;Randersvej;2660;3155;51;Aarhus;Aarhus;56.18333604;10.20070079;56.18465956;32;8200;Denmark;20;COWI;8200;20;;285;MAJOR_ROAD;184972;Denmark;458;AAR_BT_0192 2660 3155;186223;1692
Randersvej;Hasle Ringvej;3155;2659;62;Århus N;Aarhus;56.18461478;10.19580434;56.18146;31;8200;Denmark;141;COWI;8200;141;;290;MAJOR_ROAD;185104;Denmark;541;AAR_BT_0197 3155 2659;186233;1697
Grenåvej;Grenåvej;4353;4569;58;Ega;Ega;56.2116393;10.27743649;56.20709857;51;8250;Denmark;481;COWI;8250;481;;373;MAJOR_ROAD;190475;Denmark;829;AAR_BT_0281 4353 4569;192372;1780
Grenåvej;Grenåvej;4578;4569;38;Ega;Ega;56.20482702;10.25958436;56.20698519;51;8250;Denmark;402;COWI;8250;440;;376;MAJOR_ROAD;190555;Denmark;535;AAR_BT_0284 4578 4569;192378;1783
Ålykkevej;Grenåvej;4565;4578;36;Risskov;Ega;56.20251117;10.25078614;56.20482702;60;8250;Denmark;41;COWI;8240;402;;378;MAJOR_ROAD;190609;Denmark;602;AAR_BT_0286 4565 4578;192382;1785
Lystrupvej;Lystrupvej;4346;4340;136;Lystrup;Risskov;56.2172839;10.23361943;56.205074;36;8240;Denmark;201;COWI;8520;42;;389;MAJOR_ROAD;190908;Denmark;1377;AAR_BT_0297 4346 4340;192404;1796
Lystrupvej;Lystrupvej;4340;4346;130;Risskov;Lystrup;56.205074;10.23621753;56.2172839;38;8520;Denmark;42;COWI;8240;201;;390;MAJOR_ROAD;190934;Denmark;1383;AAR_BT_0298 4340 4346;192406;1797
Grenåvej;Lystrupvej;4567;4340;78;Risskov;Risskov;56.2005601;10.24187643;56.205074;43;8240;Denmark;0;COWI;8240;42;;410;MAJOR_ROAD;192919;Denmark;925;AAR_BT_0330 4567 4340;229104;1817
Vestre Ringgade;Vestre Ringgade;3192;3193;67;Aarhus;Aarhus;56.16945047;10.19433871;56.16396941;44;8210;Denmark;61;COWI;8200;53;;237;MAJOR_ROAD;180926;Denmark;813;AAR_BT_0144 3192 3193;182222;1644
Kystvejen;Nørreport;3187;4374;62;Aarhus;Aarhus;56.16159727;10.2153897;56.16107681;19;8000;Denmark;59;COWI;8000;18;;358;MAJOR_ROAD;190073;Denmark;333;AAR_BT_0265 3187 4374;192342;1765
Nørreport;Spanien;4374;3189;202;Aarhus;Aarhus;56.16101782;10.21197608;56.14892751;27;8000;Denmark;93;COWI;8000;63;;359;MAJOR_ROAD;190100;Denmark;1490;AAR_BT_0266 4374 3189;192344;1766
Skanderborgvej;Marselis Boulevard;3150;3990;115;Aarhus;Aarhus;56.14258759;10.18675688;56.13947789;26;8000;Denmark;26;COWI;8000;135;;362;MAJOR_ROAD;190179;Denmark;822;AAR_BT_0269 3150 3990;192350;1769
